,username,full_text
0,BppnIkn37632,INFO Star Safety Bersama Universitas Insan Budi Utomo dll seluru wilayah indonesia Dengan program siap kerja kerja sama dengan perusahan Nasional dan Internasional
1,BppnIkn37632,INFO Star Safety Bersama Universitas Insan Budi Utomo dll seluru wilayah indonesia Dengan program siap kerja kerja sama dengan perusahan Nasional dan Internasional
3,ikn_merdeka,Semoga program yang di bawa akan sangat membantu para generasi muda indonesia
4,RadenAjeng_Ei,IKN adalah Program Penjajah dan tiap warga negara yang mendukung IPK 23 atau minimal Tolo sebagian teks diculik
5,8angher,Alhamdulillah Mungkin Krn PrabowoGibran berkomitmen meneruskan program pembangunan IKN
6,adichrissaputra,Dulu menentang habis habisan program pembangunan IKNmakanya mas jangan suka ikut gerombolan KADRUNketuraran begonya
7,justblabering,Thats why gw agak ga setuju sama program IKN Banyak yg harus dikorbankan dan korbannya ya orang2 kecil Misal emang mau dipindah ibu kotanya karna alasan Jakarta udh ga memadai sering banjir dll kenapa ga pindah ke kota yg udah jadi aja
8,harisnu,lah berarti program nya pak anies cocok dong ngerjain IKN gak perlu kebut2an anggaran krn jangka panjang pengerjaannya itu sesuai statement ini malah 100 tahun
9,tantu_panggelar,Tanyai ke aja kan dia tau wo g itu program bapaknya dan dia mendukung IKN dilanjutkan
10,el_in_me,Loh2 Warga Kalimantan Timur kan pendukung tertinggi 02 kan y Kalau sudah ada kesepakatan ganti rugi harusnya dukung IKN amp menerima penggusuran demi pembangunan IKN dong ya ALL IN masa setengah2 Konsisten dong dukung sepenuhny program Jokowi yg dilanjutkan Prabowo
11,saisyaaa__,Karna mayoritas masyarakat memilih keberlanjutan ya terima aja program yg mereka tentukan Disuruh angkat kaki demi IKN dalam wkt 7 hari amp ga dikasih solusi Ya terima aja kan sudah dipilih
12,dkrsdi,Pajak dinaikan bbm subsidi dihilangkan listrik dinaikan Itu demi apa Demi program IKN yang sebelumnya gak pernah ada dalam janji jokowi dipemilu 2019 Terlalu terburu pelaksanaannya
13,dm_4bby,Kemenangan ini membuktikan bahwa pesan dan program politik PrabowoGibran berhasil menyentuh hati rakyat Indonesia
14,Wahyudi1707,Yg penting JOGET aja dl ya ngga warga deket IKNdi ajak utk Perubahan ngga maumalah mau program lanjutan akhirnya ya kena gusur jd ya nikmati aja pilihannya IKN hanya utk horang kayah klo kaum mendang mending mana bisa masuk ke IKN Milihny 02 tp kena gusurRugi dong
15,mydayat,Ga ngurusin capres tp apa yg mereka pilih refleksi apa yg akan mereka dapat krn mereka mendukung sepenuhnya program IKN salah satu nya menggusir kampung mereka
16,AgusYudhoyono,Dalam upaya menyukseskan target capaian di tahun 2024 Pagi ini saya melakukan koordinasi lanjutan dengan Membahas program utama Kementerian ATRBPN seperti PTSL Sertifikasi Tanah RDTR IKN amp Operasi Pemberantasan Mafia Tanah Ke depan programprogram
17,angkatanthn2020,Awalnya aku simpati ke warga kalimantan yg digusur2 krn program ikn Tapi mereka memilih jalan mereka sendiri Silakan lanjutkan program jok0wisme yg kalian pilih
18,dera_hehe,Karena APBNnya gak kuat buat program fantastis kayak IKN dan makan siang gratis jadi cari modal dulu sediih memang jadi rakyat di negeri ini
19,ikn_merdeka,Program dari pak prabowo dan mas gibran di sambut hanggat pak bas senior per proyekan
20,middnightblu,mungkin dia belum lihat IKN dala frame yang lebih besar zel gua dulu juga pengen ke IKN daftar MSIB ke sana malah terus sekarang jadi ngerti IKN itu cuma program jelek
21,whereisglasses,maap kak kok bisa suami istri beda pilihan apa gk ada diskusi gitu membandingkan program2 nya dri program 02 aja byk yg ngerugiin rakyat mulai dri naikin gaji pejabat dana makan siang gratis yg potong subsidi bbm sama BOS prioritas IKN 300 FK
22,songohan141,Paling dikasih beras 5 kg lgsg memuja muji program ikn
23,ativonmi,Terkait adanya rencana peningkatan belanja negara ini ada kaitannya sama program dia di masa depan yaitu makan siang gratis sebenernya ikn pun bakal ambil sebagian dana APBN kita sih wkwkkw
24,udahbukanaku,no1 ga ush ditanggung udh banyak org speak up soal ikn tuh salah satu program keberlanjutan dibahas pula d debat kl mereka gatau ya salah sendiri ga mencari taututup telinga no2 lucu kl pun iya manipulasi hrsnya udah byk yang protes dr kemarin2 krn nya cukup besar
25,HilmanAR1977,Dana bantuan bencana abis buat dana pemenangan 02 amp program IKNntar nunggu pajak naik 15 ntar klo ada sisa baru buat ngasih yg kena bencana ya
26,Maestro784,Sumur resapan rencana jg diaplikasikan utk IKN sekarang cuti dampingi istri bsk mungkin food station PS waktu debat pilpres pun cm angguk2 n pd akhirnya semua visi misi program 01 akan dicaplok ini yg salah penontonnya pemainnya atau wasitnya n what about makan gratis
27,sucker4fantasy,Budget pemilu itu udah disiapin karna itu program pasti setiap 5 tahun sekali Yg ga cerdas nambah utang negara ngebut bangun IKN sama makan gratis
28,NuhaAja1,Gw jd presiden selanjutnya akan gw sita itu IKN program ilegal menjadi kawasan pariwisata konsepnya gabungan antara ancol dan taman mini dan rumah rumah sudah jd jadiin vila dan tempat bermain Jadi menyerap puluhan ribu karyawan dr warga lokal
29,bbrrsshhkk,Wkwk pindah noh ke IKN yg 58 sisanya buat yg 26 kan yg 26 ga mau ngelanjutin program
30,nata_decopinc,kyk program bikin sumur resapan pdhl yg onoh kontra eh gtwnya dipke di IKN
31,Wjhsshkxhx,Contoh program yang di pakai pemerintah yaitu sumur resapan di ikn dan DP 0 yang di tiru developer bank pak Anies belike gw doang kering lu pada baru nyemplung engga punya ide ya Wkwkwkwk
32,marpaung913,Apakah ini dimaksud LBP buat mereka yang mengkritisi pemilu hak angket dan IKN Program hilirisasi sudah meningkat devisa negara tapi masih juga tidak baik bagi kalian Jadi maksudmu bagaimana
33,anginlewat,Ini cm salah satu program yg bahkan ga terlalu urgent di indo Program ikn pemberantasan korupsi dan perbaikan pendidikan jauh lbh urgent
34,seatodaynews,Otorita Ibu Kota Nusantara OIKN held a Friday English Fun FEF program in several primary schools around Nusantara Capital City IKN OIKNs Basic Services Director Suwito said that this program will be conducted regularly
35,akaverry,program bagus sayang masyarakat lebih memilih lanjutkan program jokowi via gibran utamakan infrastruktur ikn dan hilirisasi serta makan siang
36,Aryanto0402,Mudah2 an program berhenti IKN dan fokus bangun kota lain jg dicopy
37,dm_4bby,Program ini tidak hanya membantu dalam menjaga keseimbangan gizi masyarakat tetapi juga mendukung para nelayan dan petani lokal untuk meningkatkan pendapatan mereka
38,truckoleng15,padahal kalo dipikir buat apa kesel sama pendukung kan yang menjabat atasannya wkwkwk emg keren jokowi dengan program revolusi mentalnya bisa buat para pro pemerintah mau ngelawan sesama masyarakat nya dan para elitis pada pesta di ikn
39,yaniarsim,Program keberlanjutan 02 memakan korban 200 Warga Pamaluan diminta merobohkan sendiri rumahnya oleh otorita IKNmiris
40,kompascom,Siswa SD di IKN akan belajar Bahasa Inggris setiap hari Jumat melalui program Friday English Fun
41,Lumaera1,Cebokin trus Masyarakat adat sekitar IKN diusir noh PPN naik jadi 12 Bayar pajak cuman buat program keuntungan kelompok tertentu Wkwk cegah korupsi dgn naikin gaji pejabat PFFFTTTT
42,BouncingPandaa,Maaf saya cuma share sudut pandang saya soal program transmigrasi ya ga urusan soal politik atau IKN dll Iya IKN berasa di area propinsi kaltara yang dulunya adalah daerah transmigrasi
43,SacredUse,Sangat mungkin sekali Indonesia bs sj berakhir spt Mesir apalagi mengingat rezim baru memiliki program2 yg masif amp akan sangat membebankan APBN penambahan dana IKN Giant Sea Wall makan siang gratis modernisasi alutsistadkk blm lagi program yg telah ada seperti dana bansos
44,aenive,Padahal masih segar di ingatan pernah debat di platform sebelah sama yang mengaku orang Kalimantan Mereka milih 02 karena program keberlanjutan ikn ingin merasakan pemerataan yang sama kaya di Jawa katanya Sekarang jangan kan pemerataan semua Kalimantan rumah yang masuk
