,full_text,tweet_english
0,info star safety sama universitas insan budi utomo seluru wilayah indonesia program siap kerja kerja sama usah nasional internasional,info star safety with human university Budi UTOMO throughout the territory of Indonesia program ready for international national business cooperation
1,moga program di bawa sangat bantu generasi muda indonesia,let's hope the program is very helpful to the younger generation of Indonesia
2,ikn program jajah tiap warga negara dukung ipk 23 minimal tolo bagi teks culik,ikn jajah program every citizen supports ipk 23 minimum tolo for kidnapping text
3,alhamdulillah mungkin prabowogibran komitmen terus program bangun ikn,alhamdulillah maybe prabowogibran commitment to continue the Wake Up program ikn
4,dulu tentang habis habis program bangun iknmakanya mas jangan suka ikut gerombol kadrunketuraran bego,"first about the end of the program to build it, don't like to follow the hordes of cadrunketuraran bego"
5,thats why gw tuju sama program ikn banyak harus korban korban orang2 kecil misal emang mau pindah ibu kota karna alas jakarta udah pada sering banjir kenapa tidak pindah kota udah jadi aja,"thats why I'm aiming for the same IKN program, many victims must be victims of small people, for example, they want to move the capital city because the foundation of Jakarta is already in frequent flooding, why not move the city already"
6,lah arti program nya pak anies cocok dong ngerjain ikn perlu kebut2an anggar jangka panjang kerja sesuai statement malah 100 tahun,is the meaning of the program sir anies fit dong ngerjain ikn need kebut2an long term fencing work according to the statement even 100 years
7,tanya aja kan tau wo g program bapak dia dukung ikn lanjut,"just ask, right? wo g, his father's program supports ikn further"
8,loh2 warga kalimantan timur kan dukung tinggi 02 kan y kalau ada sepakat ganti rugi harus dukung ikn terima gusur bangun ikn dong all in masa setengah2 konsisten dong dukung sepenuhny program jokowi lanjut prabowo,loh2 residents of eastern Kalimantan right high support 02 right y if there is an agreement compensation must support ikn accept gusur build ikn dong all in half a time consistent dong fully support jokowi program further prabowo
9,karna mayoritas masyarakat pilih lanjut terima aja program mereka tentu suruh angkat kaki ikn wkt 7 hari tidak kasih solusi terima aja kan pilih,"because the majority of people choose to continue, just accept their program, of course, tell them to leave their feet, no thank you for the solution, just choose"
10,pajak naik bbm subsidi hilang listrik naik apa demi program ikn belum pernah dalam janji jokowi milu 2019 terlalu buru laksana,tax increase fuel subsidy lost electricity increase what for the sake of the IKN program has never been in the promise of jokowi milu 2019 is too hasty like
11,menang bukti pesan program politik prabowogibran hasil sentuh hati rakyat indonesia,win proof of the pre-wowogibran political program message from touching the hearts of the Indonesian people
12,yg penting joget aja dl ngga warga deket ikndi ajak ubah ngga maumalah mau program lanjut akhir kena gusur jd nikmat aja pilih ikn untuk horang kayah kalo kaum dang mending mana masuk ikn milihny 02 tp kena gusurrugi dong,"the important thing is to jog, dl, not the people close to ikndi, invite them to change, no maumalah, want the final further program to be destroyed, just choose ikn for horang kayah if the dang mending people enter ikn milihny 02 but get gusurrugi dong"
13,ga ngurusin capres tp apa pilih refleksi apa akan dapat mereka dukung sepenuh program ikn salah satu nya menggusir kampung mereka,do not take care of presidential candidates but choose what reflection they will be able to fully support the program if one of them evicts their village
14,upaya sukses target capai tahun 2024 pagi saya laku koordinasi lanjut bahas program utama menteri atrbpn ptsl sertifikasi tanah rdtr ikn operasi berantas mafia tanah depan programprogram,successful efforts to achieve the target of 2024 in the morning I carried out further coordination to discuss the main program of the minister atrbpn ptsl land certification rdtr ikn the operation of the front land mafia program
15,awal aku simpati warga kalimantan digusur2 program ikn pilih jalan mereka sendiri sila lanjut program jok0wisme kalian pilih,early I sympathize with the people of kalimantan evicted from the program ikn choose their own path please continue the program jok0wisme you choose
16,apbnnya kuat buat program fantastis kayak ikn makan siang gratis jadi cari modal dulu sediih memang jadi rakyat negeri,the budget is strong for a fantastic program like a free lunch so looking for capital first it's easy to become a citizen of the country
17,program pak prabowo mas gibran sambut hanggat pak bas senior per proyek,pak Prabowo Mas Gibran program welcomes Hanggat Pak Bas Senior per project
18,mungkin belum lihat ikn dala frame lebih besar zel gua dulu ken ikn daftar msib sana malah terus sekarang jadi ngerti ikn cuma program jelek,probably haven't seen ikn dala larger frame zel cave first ken ikn msib list there even continue now so understand ikn just a bad program
19,maap kak kok suami istri beda pilih apa gk diskusi gitu banding program2 nya dri program 02 aja banyak ngerugiin rakyat mulai dri naikin gaji jabat dana makan siang gratis potong subsidi bbm sama bos prioritas ikn 300 fk,maap sis why do different husbands and wives choose what to discuss compared to the programs of 02 just because there are many people losing money starting from increasing the salary of the head of the free lunch fund cut the bbm subsidy with the priority boss ikn 300 fk
20,paling kasih beras 5 kg lgsg puja muji program ikn,most love rice 5 kg lgsg puja muji ikn program
21,kait ada rencana tingkat belanja negara ada kait sama program di masa depan makan siang gratis sebenernya ikn bakal ambil bagi dana apbn sih wkwkkw,hook there is a plan for the level of state spending there is a hook for the program in the future free lunch actually ikn will take for funds apbn anyway wkwkkw
22,no1 ush tanggung udah banyak org speak up soal ikn tuh salah satu program lanjut bahas d debat kl gatau salah sendiri cari taututup telinga no2 lucu kl iya manipulasi hrsnya udah banyak protes dr kemarin2 nya cukup besar,no1 ush responsibility already many people talk up about ikn tuh one of the further programs discusses the debate kl gat or one of their own looking for taut close the ears no2 funny kl ya manipulation hrsnya already many protests dr yesterday2nya quite large
23,dana bantu bencana abis buat dana menang 02 program iknnanti nunggu pajak naik 15 kalo sisa baru buat ngasih kena bencana,abis disaster relief fund for funds to win 02 program will wait for taxes to rise 15 if new waste to give disaster
24,sumur resap rencana aplikasi ikn sekarang cuti damping istri bsk mungkin food station ps waktu debat pilpres cm angguk2 n akhir semua visi misi program 01 caplok yang salah tonton main wasit n what about makan gratis,fade well application plan ikn now leave side by side wife bsk maybe food station ps debate time presidential election cm nodding 2 n end all vision mission program 01 caplok wrong watch play referee n what about eating free
25,budget milu udah disiapin karna program tiap 5 tahun sekali tidak cerdas nambah utang negara ngebut bangun ikn sama makan gratis,the milu budget has been prepared because the program every 5 years is not smart to increase the state debt to speed up the construction of free food
26,gw jd presiden lanjut gw sita ikn program ilegal jadi kawasan pariwisata konsep gabung ancol taman mini rumah rumah jd jadiin vila tempat main jadi serap puluh ribu karyawan dr warga lokal,gw jd the president continued gw sita ikn illegal program became a tourism area the concept of joining ancol mini park house house jd soin villa where to play so absorb tens of thousands of employees from local residents
27,pindah noh ikn 58 sisa buat 26 kan 26 mau ngelanjutin program,move noh ikn 58 left for 26 right 26 want to continue the program
